Bairro;Preco_Real;Preco_Previsto;Erro_Absoluto
Santa Teresa, Rio de Janeiro, Brasil;479,0;299,9643901647485;179,03560983525148
Copacabana, Rio de Janeiro, Brasil;311,0;400,5892312708895;89,58923127088951
Copacabana, Rio de Janeiro, Brasil;309,0;313,3248356731532;4,3248356731531885
Copacabana, Rio de Janeiro, Brasil;287,0;400,5892312708895;113,58923127088951
Copacabana, Rio de Janeiro, Brasil;360,0;496,47121279239656;136,47121279239656
Outros, Rio de Janeiro, Brasil;300,0;224,14917002169167;75,85082997830833
Outros, Rio de Janeiro, Brasil;277,0;604,4187221231559;327,41872212315593
Vidigal, Rio de Janeiro, Brasil;275,0;248,82;26,180000000000007
Copacabana, Rio de Janeiro, Brasil;186,0;313,3248356731532;127,32483567315319
Copacabana, Rio de Janeiro, Brasil;950,0;907,480995780514;42,519004219485964
Botafogo, Rio de Janeiro, Brasil;347,0;496,5904996947495;149,5904996947495
Copacabana, Rio de Janeiro, Brasil;283,0;361,0067620751919;78,00676207519189
Copacabana, Rio de Janeiro, Brasil;188,0;313,2084563572107;125,20845635721071
Copacabana, Rio de Janeiro, Brasil;202,0;319,01382169489125;117,01382169489125
Barra da Tijuca, Rio de Janeiro, Brasil;275,0;373,7504201001107;98,75042010011072
Copacabana, Rio de Janeiro, Brasil;1074,0;1336,055265920563;262,055265920563
Outros, Rio de Janeiro, Brasil;294,0;349,22833333333335;55,22833333333335
Barra da Tijuca, Rio de Janeiro, Brasil;522,0;479,71508871108193;42,28491128891807
Copacabana, Rio de Janeiro, Brasil;247,0;319,01382169489125;72,01382169489125
Barra da Tijuca, Rio de Janeiro, Brasil;459,0;594,7637994812995;135,76379948129954
São Conrado, Rio de Janeiro, Brasil;741,0;867,8167865228613;126,81678652286132
Santa Teresa, Rio de Janeiro, Brasil;275,0;515,6846590222642;240,6846590222642
Barra da Tijuca, Rio de Janeiro, Brasil;470,0;582,5431482961484;112,54314829614839
Copacabana, Rio de Janeiro, Brasil;513,0;535,4214427785284;22,421442778528444
Recreio dos Bandeirantes, Rio de Janeiro, Brasil;142,0;386,50899178599184;244,50899178599184
Ipanema, Rio de Janeiro, Brasil;887,0;394,30977318254963;492,69022681745037
Botafogo, Rio de Janeiro, Brasil;146,0;231,0164017094017;85,01640170940169
Ipanema, Rio de Janeiro, Brasil;380,0;952,4494512972747;572,4494512972747
Copacabana, Rio de Janeiro, Brasil;293,0;630,6915599291005;337,69155992910055
Barra da Tijuca, Rio de Janeiro, Brasil;300,0;290,78429398913374;9,215706010866256
Copacabana, Rio de Janeiro, Brasil;265,0;428,9820366401939;163,98203664019388
Botafogo, Rio de Janeiro, Brasil;103,0;175,86833333333337;72,86833333333337
Botafogo, Rio de Janeiro, Brasil;222,0;259,0240263106548;37,02402631065479
Copacabana, Rio de Janeiro, Brasil;507,0;1138,07;631,0699999999999
Leblon, Rio de Janeiro, Brasil;468,0;500,43492927176624;32,43492927176624
Centro, Rio de Janeiro, Brasil;251,0;190,60949606249363;60,39050393750637
Ipanema, Rio de Janeiro, Brasil;345,0;394,30977318254963;49,309773182549634
Ipanema, Rio de Janeiro, Brasil;685,0;604,0568384984493;80,94316150155066
Botafogo, Rio de Janeiro, Brasil;173,0;104,35661904761906;68,64338095238094
Leblon, Rio de Janeiro, Brasil;1552,0;451,48757056235905;1100,512429437641
Copacabana, Rio de Janeiro, Brasil;970,0;1231,4004880952386;261,40048809523864
Jacarepaguá, Rio de Janeiro, Brasil;1013,0;1995,9573333333333;982,9573333333333
Botafogo, Rio de Janeiro, Brasil;296,0;551,7472222222223;255,74722222222226
Tijuca, Rio de Janeiro, Brasil;150,0;218,67125180375183;68,67125180375183
Laranjeiras, Rio de Janeiro, Brasil;1518,0;3071,715;1553,7150000000001
Tijuca, Rio de Janeiro, Brasil;114,0;111,55583333333333;2,444166666666675
Barra da Tijuca, Rio de Janeiro, Brasil;700,0;497,71723547286047;202,28276452713953
Jacarepaguá, Rio de Janeiro, Brasil;480,0;659,1186908369407;179,1186908369407
Recreio dos Bandeirantes, Rio de Janeiro, Brasil;299,0;2773,9708333333338;2474,9708333333338
Copacabana, Rio de Janeiro, Brasil;175,0;375,0593082612688;200,05930826126882
Barra da Tijuca, Rio de Janeiro, Brasil;585,0;2270,511845238095;1685,5118452380948
Copacabana, Rio de Janeiro, Brasil;209,0;313,3248356731532;104,32483567315319
Botafogo, Rio de Janeiro, Brasil;211,0;297,30577626326334;86,30577626326334
Gávea, Rio de Janeiro, Brasil;356,0;488,8565588235293;132,85655882352933
Barra da Tijuca, Rio de Janeiro, Brasil;800,0;414,9545825008325;385,0454174991675
Barra da Tijuca, Rio de Janeiro, Brasil;193,0;359,9412002440772;166,9412002440772
Leme, Rio de Janeiro, Brasil;283,0;735,5438787878791;452,54387878787907
Copacabana, Rio de Janeiro, Brasil;321,0;291,65197529267465;29,34802470732535
Copacabana, Rio de Janeiro, Brasil;2342,0;2151,8824999999997;190,1175000000003
Centro, Rio de Janeiro, Brasil;302,0;205,55527302264403;96,44472697735597
Copacabana, Rio de Janeiro, Brasil;634,0;849,11;215,11
Flamengo, Rio de Janeiro, Brasil;165,0;398,03736214169584;233,03736214169584
Vidigal, Rio de Janeiro, Brasil;228,0;603,0165317460317;375,01653174603166
Ipanema, Rio de Janeiro, Brasil;294,0;514,3531217507993;220,35312175079935
Copacabana, Rio de Janeiro, Brasil;285,0;306,9317404884663;21,93174048846629
São Conrado, Rio de Janeiro, Brasil;464,0;887,447058996559;423,447058996559
Barra da Tijuca, Rio de Janeiro, Brasil;378,0;414,78411070703226;36,784110707032255
Recreio dos Bandeirantes, Rio de Janeiro, Brasil;772,0;430,38191666666665;341,61808333333335
Leblon, Rio de Janeiro, Brasil;760,0;447,06001123484106;312,93998876515894
Outros, Rio de Janeiro, Brasil;90,0;239,14640641585774;149,14640641585774
Flamengo, Rio de Janeiro, Brasil;375,0;267,82615609592574;107,17384390407426
Copacabana, Rio de Janeiro, Brasil;549,0;677,7349356016975;128,73493560169754
Outros, Rio de Janeiro, Brasil;129,0;254,644884826679;125,644884826679
Centro, Rio de Janeiro, Brasil;450,0;205,55527302264403;244,44472697735597
Recreio dos Bandeirantes, Rio de Janeiro, Brasil;130,0;380,55484144171925;250,55484144171925
Outros, Rio de Janeiro, Brasil;123,0;254,644884826679;131,644884826679
Outros, Rio de Janeiro, Brasil;1266,0;1923,47;657,47
Leblon, Rio de Janeiro, Brasil;315,0;856,4866219336221;541,4866219336221
Botafogo, Rio de Janeiro, Brasil;1342,0;283,8293549222339;1058,170645077766
Gávea, Rio de Janeiro, Brasil;484,0;449,77303422494106;34,22696577505894
Copacabana, Rio de Janeiro, Brasil;626,0;307,0622915353926;318,9377084646074
Ipanema, Rio de Janeiro, Brasil;458,0;514,3531217507993;56,353121750799346
Copacabana, Rio de Janeiro, Brasil;104,0;307,0622915353926;203,0622915353926
Leblon, Rio de Janeiro, Brasil;360,0;1075,6211427749759;715,6211427749759
Copacabana, Rio de Janeiro, Brasil;198,0;313,2084563572107;115,20845635721071
